i,name,retrieval_k,hybrid_alpha,decompose,reflect,prompt_variant,f1,em,recall,grounding,latency,tokens,n,errors,wall_s,phase
14,combo_best,4,0.5,False,True,cot,0.3775,0.3,0.79,0.8342,0.122,43.38,50,0,8.2,synthesis
9,prompt_cot,4,0.5,False,False,cot,0.3742,0.3,0.79,0.8164,0.9316,40.96,50,0,48.9,ablation
15,nbr_k3_a0.3_cot_d,3,0.3,True,False,cot,0.3596,0.22,0.64,0.8113,0.8119,61.18,50,0,43.3,neighbour-search
47,nbr_k3_a0.3_cot_d_r,3,0.3,True,True,cot,0.3596,0.22,0.64,0.8113,0.1084,63.18,50,0,8.1,neighbour-search
33,nbr_k5_a0.7_cot,5,0.7,False,False,cot,0.3426,0.26,0.79,0.7547,0.7096,34.42,50,0,37.8,neighbour-search
52,nbr_k3_a0.6_cot_d,3,0.6,True,False,cot,0.3421,0.2,0.67,0.795,0.0,59.68,50,0,2.5,neighbour-search
41,nbr_k3_a0.6_cot_d_r,3,0.6,True,True,cot,0.342,0.2,0.68,0.7962,0.6306,62.98,50,0,34.5,neighbour-search
43,nbr_k5_a0.7_cot_d_r,5,0.7,True,True,cot,0.3346,0.22,0.81,0.7527,0.9297,66.5,50,0,49.4,neighbour-search
21,nbr_k2_a0.4_cot,2,0.4,False,False,cot,0.3343,0.2,0.6,0.7844,0.9553,47.02,50,0,50.2,neighbour-search
48,nbr_k5_a0.4_cot_r,5,0.4,False,True,cot,0.3249,0.22,0.8,0.8285,1.7906,39.98,50,0,94.1,neighbour-search
26,nbr_k6_a0.4_cot_d,6,0.4,True,False,cot,0.3244,0.18,0.79,0.8027,0.9239,62.96,50,0,49.3,neighbour-search
54,nbr_k5_a0.6_cot_d_r,5,0.6,True,True,cot,0.324,0.2,0.78,0.7972,4.8211,62.96,50,0,265.9,neighbour-search
40,nbr_k6_a0.3_cot_d_r,6,0.3,True,True,cot,0.3152,0.18,0.83,0.7736,0.7851,65.74,50,0,42.4,neighbour-search
36,nbr_k3_a0.7_cot,3,0.7,False,False,cot,0.3122,0.24,0.73,0.7924,0.0,33.38,50,0,2.1,neighbour-search
30,nbr_k3_a0.7_cot_r,3,0.7,False,True,cot,0.311,0.24,0.73,0.802,0.858,36.8,50,0,45.6,neighbour-search
37,nbr_k2_a0.6_cot,2,0.6,False,False,cot,0.3074,0.2,0.63,0.7878,0.3241,45.32,50,0,18.6,neighbour-search
32,nbr_k3_a0.4_cot,3,0.4,False,False,cot,0.307,0.2,0.71,0.8245,0.5142,38.22,50,0,28.0,neighbour-search
13,decompose+reflect,4,0.5,True,True,plain,0.3046,0.18,0.7,0.9029,0.2011,36.06,50,0,12.8,ablation
23,nbr_k5_a0.3_cot,5,0.3,False,False,cot,0.3044,0.2,0.79,0.8097,0.847,35.96,50,0,44.8,neighbour-search
29,nbr_k5_a0.3_cot_r,5,0.3,False,True,cot,0.3044,0.2,0.79,0.8097,0.1927,37.96,50,0,11.9,neighbour-search
12,reflect,4,0.5,False,True,plain,0.2936,0.18,0.79,0.9438,0.2208,14.66,50,0,13.3,ablation
1,baseline,4,0.5,False,False,plain,0.2933,0.18,0.79,0.9413,0.4703,11.86,50,0,37.7,ablation
3,k6,6,0.5,False,False,plain,0.2862,0.16,0.83,0.9195,0.3651,12.22,50,0,20.4,ablation
2,k2,2,0.5,False,False,plain,0.2833,0.14,0.64,0.8873,0.319,9.68,50,0,18.0,ablation
11,decompose,4,0.5,True,False,plain,0.281,0.16,0.69,0.8826,0.7291,32.8,50,0,40.8,ablation
44,nbr_k5_a0.7_plain_d_r,5,0.7,True,True,plain,0.2799,0.14,0.8,0.9138,0.2144,36.84,50,0,13.4,neighbour-search
4,k8,8,0.5,False,False,plain,0.2798,0.16,0.91,0.9315,0.0679,12.5,50,0,5.4,ablation
50,nbr_k5_a0.7_plain_d,5,0.7,True,False,plain,0.2726,0.14,0.79,0.9183,0.0,34.28,50,0,2.5,neighbour-search
31,nbr_k6_a0.4_plain,6,0.4,False,False,plain,0.2651,0.14,0.83,0.9102,0.243,13.14,50,0,14.3,neighbour-search
51,nbr_k5_a0.3_plain_d_r,5,0.3,True,True,plain,0.2559,0.12,0.77,0.9192,0.4709,38.16,50,0,26.4,neighbour-search
35,nbr_k3_a0.7_plain_r,3,0.7,False,True,plain,0.2557,0.16,0.74,0.8964,0.3975,12.9,50,0,22.2,neighbour-search
38,nbr_k3_a0.4_plain,3,0.4,False,False,plain,0.2557,0.12,0.71,0.8939,0.2327,11.44,50,0,13.7,neighbour-search
16,nbr_k6_a0.7_plain_d_r,6,0.7,True,True,plain,0.2474,0.12,0.84,0.8807,0.6007,38.14,50,0,33.1,neighbour-search
5,alpha0.0,4,0.0,False,False,plain,0.2462,0.1,0.71,0.9456,0.3337,11.14,50,0,18.8,ablation
46,nbr_k5_a0.7_plain_r,5,0.7,False,True,plain,0.2447,0.1,0.8,0.9203,0.4323,14.86,50,0,24.1,neighbour-search
7,alpha0.7,4,0.7,False,False,plain,0.2383,0.14,0.76,0.892,0.2647,12.4,50,0,15.3,ablation
45,nbr_k3_a0.7_plain_d_r,3,0.7,True,True,plain,0.2361,0.1,0.66,0.8609,0.4083,36.26,50,0,23.5,neighbour-search
17,nbr_k6_a0.7_strict_r,6,0.7,False,True,strict,0.2331,0.12,0.86,0.775,0.7663,21.68,50,0,41.1,neighbour-search
27,nbr_k6_a0.7_strict,6,0.7,False,False,strict,0.2331,0.12,0.86,0.775,0.0,17.78,50,0,2.1,neighbour-search
25,nbr_k2_a0.6_strict,2,0.6,False,False,strict,0.2319,0.14,0.63,0.7346,0.1265,17.88,50,0,8.4,neighbour-search
6,alpha0.3,4,0.3,False,False,plain,0.225,0.1,0.76,0.9355,0.2325,11.48,50,0,13.7,ablation
53,nbr_k3_a0.3_strict_d_r,3,0.3,True,True,strict,0.2191,0.1,0.65,0.8419,1.5047,44.24,50,0,81.7,neighbour-search
8,alpha1.0,4,1.0,False,False,plain,0.2158,0.1,0.7,0.8901,0.3714,13.72,50,0,20.7,ablation
18,nbr_k6_a0.6_strict,6,0.6,False,False,strict,0.2097,0.1,0.84,0.7428,0.2899,21.1,50,0,16.7,neighbour-search
19,nbr_k2_a0.6_plain_d,2,0.6,True,False,plain,0.2075,0.08,0.59,0.8786,0.2199,34.28,50,0,13.7,neighbour-search
28,nbr_k6_a0.7_strict_d,6,0.7,True,False,strict,0.2037,0.1,0.83,0.6949,0.4257,38.96,50,0,24.3,neighbour-search
34,nbr_k2_a0.7_strict_r,2,0.7,False,True,strict,0.2031,0.1,0.66,0.725,0.3166,27.3,50,0,18.5,neighbour-search
24,nbr_k2_a0.4_strict,2,0.4,False,False,strict,0.2021,0.1,0.6,0.7634,0.3121,20.78,50,0,17.8,neighbour-search
10,prompt_strict,4,0.5,False,False,strict,0.1963,0.1,0.79,0.7826,0.4936,17.4,50,0,26.9,ablation
49,nbr_k2_a0.7_plain_d_r,2,0.7,True,True,plain,0.1957,0.06,0.59,0.871,0.1862,36.52,50,0,12.0,neighbour-search
55,nbr_k6_a0.4_strict_r,6,0.4,False,True,strict,0.1943,0.08,0.83,0.785,232.5014,29.02,50,0,11648.5,neighbour-search
42,nbr_k3_a0.6_strict,3,0.6,False,False,strict,0.1802,0.08,0.73,0.7575,0.5179,23.16,50,0,28.1,neighbour-search
22,nbr_k5_a0.4_strict_d,5,0.4,True,False,strict,0.174,0.06,0.75,0.8097,0.5526,42.2,50,0,30.5,neighbour-search
20,nbr_k2_a0.7_strict_d,2,0.7,True,False,strict,0.1687,0.08,0.57,0.6817,0.4209,38.58,50,0,23.8,neighbour-search
39,nbr_k5_a0.3_strict_d,5,0.3,True,False,strict,0.1563,0.06,0.75,0.8181,0.2805,43.14,50,0,16.7,neighbour-search
